,winner,winner_url,looser,looser_url
69,Kaan Ofli,http://www.ufcstats.com/fighter-details/7facc9c45d792985,Ricardo Ramos,http://www.ufcstats.com/fighter-details/1ae8f3c723aacff4
70,Michael Aswell Jr.,http://www.ufcstats.com/fighter-details/01c9e4013afce141,Lucas Almeida,http://www.ufcstats.com/fighter-details/710f0f8c5d5c9d41
71,Jafel Filho,http://www.ufcstats.com/fighter-details/65adf3856c4d9256,Clayton Carpenter,http://www.ufcstats.com/fighter-details/b62d5280966b2460
72,Vitor Petrino,http://www.ufcstats.com/fighter-details/71171fc96445bf65,Thomas Petersen,http://www.ufcstats.com/fighter-details/764d39074a352e33
73,Bia Mesquita,http://www.ufcstats.com/fighter-details/eff9074bc066f0f2,Irina Alekseeva,http://www.ufcstats.com/fighter-details/103e2e33a60683e1
74,Lucas Rocha,http://www.ufcstats.com/fighter-details/e0d3d9b564f95635,Stewart Nicoll,http://www.ufcstats.com/fighter-details/2bd98ab77a8daa75
75,Julia Polastri,http://www.ufcstats.com/fighter-details/abb68e3c7ca128f2,Karolina Kowalkiewicz,http://www.ufcstats.com/fighter-details/d7c3816669784109
76,Luan Lacerda,http://www.ufcstats.com/fighter-details/6fc506e1099afe20,Saimon Oliveira,http://www.ufcstats.com/fighter-details/72ea1984c52019b5
77,Alex Pereira,http://www.ufcstats.com/fighter-details/e5549c82bfb5582d,Magomed Ankalaev,http://www.ufcstats.com/fighter-details/d802174b0c0c1f4e
78,Merab Dvalishvili,http://www.ufcstats.com/fighter-details/c03520b5c88ed6b4,Cory Sandhagen,http://www.ufcstats.com/fighter-details/65f09bacd3957381
79,Jiri Prochazka,http://www.ufcstats.com/fighter-details/009341ed974bad72,Khalil Rountree Jr.,http://www.ufcstats.com/fighter-details/749f572d1d3161fb
80,Youssef Zalal,http://www.ufcstats.com/fighter-details/52c2ae6d2f2d2613,Josh Emmett,http://www.ufcstats.com/fighter-details/fba03cd6cc28dc41
81,Joe Pyfer,http://www.ufcstats.com/fighter-details/c1085e1701b13eca,Abus Magomedov,http://www.ufcstats.com/fighter-details/36b8f265bcd1b7a4
82,Ateba Gautier,http://www.ufcstats.com/fighter-details/2f815ed5f8278ba6,Tre'ston Vines,http://www.ufcstats.com/fighter-details/563a1d42bb0e3cef
83,Daniel Santos,http://www.ufcstats.com/fighter-details/b67d6bacc68d4c92,JooSang Yoo,http://www.ufcstats.com/fighter-details/a44020ea2e8cd026
84,Jakub Wiklacz,http://www.ufcstats.com/fighter-details/6902fcf0610dd303,Patchy Mix,http://www.ufcstats.com/fighter-details/2cfba6c837c03ed0
85,Edmen Shahbazyan,http://www.ufcstats.com/fighter-details/4144798612ef96e5,Andre Muniz,http://www.ufcstats.com/fighter-details/886264a0c9f4ea5e
86,Punahele Soriano,http://www.ufcstats.com/fighter-details/64facb6cc564262d,Nikolay Veretennikov,http://www.ufcstats.com/fighter-details/0f1efce7d2571d10
87,Yana Santos,http://www.ufcstats.com/fighter-details/3143bf892608139a,Macy Chiasson,http://www.ufcstats.com/fighter-details/9cdd2da1a9104a0b
88,Farid Basharat,http://www.ufcstats.com/fighter-details/a09ed60aa67a3f67,Chris Gutierrez,http://www.ufcstats.com/fighter-details/45f0cc9d18f35137
89,Ramiz Brahimaj,http://www.ufcstats.com/fighter-details/3d074044a33825e7,Austin Vanderford,http://www.ufcstats.com/fighter-details/32c3ee378671a5d9
90,Veronica Hardy,http://www.ufcstats.com/fighter-details/4798e823ada58fe9,Brogan Walker,http://www.ufcstats.com/fighter-details/4333a8e70a672eb7
91,Carlos Ulberg,http://www.ufcstats.com/fighter-details/9014c02eff8b3d62,Dominick Reyes,http://www.ufcstats.com/fighter-details/2e19380f34871c6a
92,Jimmy Crute,http://www.ufcstats.com/fighter-details/70e1f8a821b72c8b,Ivan Erslan,http://www.ufcstats.com/fighter-details/64ad3e3b0efa30bb
93,Jack Jenkins,http://www.ufcstats.com/fighter-details/a9da3158dd2c2b5a,Ramon Taveras,http://www.ufcstats.com/fighter-details/c5ccd878231c5407
94,Neil Magny,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5,Jake Matthews,http://www.ufcstats.com/fighter-details/a845f0735bc67405
95,Tom Nolan,http://www.ufcstats.com/fighter-details/6c3b2525436cf5d4,Charlie Campbell,http://www.ufcstats.com/fighter-details/b39f7a6c2be17ee8
96,Navajo Stirling,http://www.ufcstats.com/fighter-details/b4b496ec2197ee3e,Rodolfo Bellato,http://www.ufcstats.com/fighter-details/69898645d600abdb
97,Cam Rowston,http://www.ufcstats.com/fighter-details/8ebc3a8da015d70c,Andre Petroski,http://www.ufcstats.com/fighter-details/5f61780fe5e9b6d0
98,Jamie Mullarkey,http://www.ufcstats.com/fighter-details/af9f42e6894047fc,Rolando Bedoya,http://www.ufcstats.com/fighter-details/40a456a25d52ee65
99,Colby Thicknesse,http://www.ufcstats.com/fighter-details/ed7d329d7c29428d,Josias Musasa,http://www.ufcstats.com/fighter-details/723b64c0e9a8f348
100,Michelle Montague,http://www.ufcstats.com/fighter-details/ca80d72da81d7224,Luana Carolina,http://www.ufcstats.com/fighter-details/528b071cf3da7c56
101,Brando Pericic,http://www.ufcstats.com/fighter-details/d0fd0d9ee560dae7,Elisha Ellison,http://www.ufcstats.com/fighter-details/87e4a3a5080ee7ce
102,Alexia Thainara,http://www.ufcstats.com/fighter-details/545092d13c67aa49,Loma Lookboonmee,http://www.ufcstats.com/fighter-details/4e30e4250cb08b61
103,Diego Lopes,http://www.ufcstats.com/fighter-details/f166e93d04a8c274,Jean Silva,http://www.ufcstats.com/fighter-details/52ef95b5860fb28c
104,David Martinez,http://www.ufcstats.com/fighter-details/9a97acbfd5a08bfa,Rob Font,http://www.ufcstats.com/fighter-details/05339613bf8e9808
105,Rafa Garcia,http://www.ufcstats.com/fighter-details/e132d47bd9efbbe0,Jared Gordon,http://www.ufcstats.com/fighter-details/7026eca45f65377b
106,Kelvin Gastelum,http://www.ufcstats.com/fighter-details/8c0580d4fff106c1,Dustin Stoltzfus,http://www.ufcstats.com/fighter-details/71505842fb6455c3
107,Alexander Hernandez,http://www.ufcstats.com/fighter-details/262a7d06203657e6,Diego Ferreira,http://www.ufcstats.com/fighter-details/f53d4f21d1b5f2dc
108,Santiago Luna,http://www.ufcstats.com/fighter-details/faf317c665546a36,Quang Le,http://www.ufcstats.com/fighter-details/32feae6d9a1e5047
109,Dusko Todorovic,http://www.ufcstats.com/fighter-details/866fd7b1a6c90e7f,Jose Daniel Medina,http://www.ufcstats.com/fighter-details/baa9be02c3e3e038
110,Joaquim Silva,http://www.ufcstats.com/fighter-details/ae7fe94f117f98cf,Claudio Puelles,http://www.ufcstats.com/fighter-details/d747eb273a40a920
111,Tatiana Suarez,http://www.ufcstats.com/fighter-details/b08012bbe542592a,Amanda Lemos,http://www.ufcstats.com/fighter-details/3df5493bb279226f
112,Jesus Aguilar,http://www.ufcstats.com/fighter-details/c051c2e12d692b8a,Luis Gurule,http://www.ufcstats.com/fighter-details/29162be25ebef5f0
113,Zach Reese,http://www.ufcstats.com/fighter-details/23dec7c47cb418f8,Sedriques Dumas,http://www.ufcstats.com/fighter-details/4e6738062d469256
114,Alden Coria,http://www.ufcstats.com/fighter-details/5e9ca8dd7d783a75,Alessandro Costa,http://www.ufcstats.com/fighter-details/3fa97913cfd205d3
115,Montse Rendon,http://www.ufcstats.com/fighter-details/60193e707634e560,Alice Pereira,http://www.ufcstats.com/fighter-details/81d2c551886bd5a1
116,Daniil Donchenko,http://www.ufcstats.com/fighter-details/70dd69b6a703257e,Rodrigo Sezinando,http://www.ufcstats.com/fighter-details/c06d6b18862f9a53
117,Nassourdine Imavov,http://www.ufcstats.com/fighter-details/881bf86d4cba8578,Caio Borralho,http://www.ufcstats.com/fighter-details/4126a78111c0855a
118,Benoit Saint Denis,http://www.ufcstats.com/fighter-details/c2299ec916bc7c56,Mauricio Ruffy,http://www.ufcstats.com/fighter-details/9c393e836a852f30
119,Modestas Bukauskas,http://www.ufcstats.com/fighter-details/476fe566d2df676e,Paul Craig,http://www.ufcstats.com/fighter-details/eabf206b162b3b83
120,Mason Jones,http://www.ufcstats.com/fighter-details/f6ad6a1e4d600e0d,Bolaji Oki,http://www.ufcstats.com/fighter-details/4bdedbdeedff7d1d
121,Axel Sola,http://www.ufcstats.com/fighter-details/1d2d98ddd05b38fb,Rhys McKee,http://www.ufcstats.com/fighter-details/f748267c4ab6c127
122,William Gomis,http://www.ufcstats.com/fighter-details/e1d40e8782d80bc2,Robert Ruchala,http://www.ufcstats.com/fighter-details/92aed9d16794f42b
123,Oumar Sy,http://www.ufcstats.com/fighter-details/46e2011d92463b7e,Brendson Ribeiro,http://www.ufcstats.com/fighter-details/49edd0d90f60fb7d
124,Ante Delija,http://www.ufcstats.com/fighter-details/7d8435c56043b0ae,Marcin Tybura,http://www.ufcstats.com/fighter-details/c9cf753cfdf77fc2
125,Kaue Fernandes,http://www.ufcstats.com/fighter-details/ec13c393d029297d,Harry Hardwick,http://www.ufcstats.com/fighter-details/2dbc60c52de126d8
126,Sam Patterson,http://www.ufcstats.com/fighter-details/8b6e5dc2ba1edbe7,Trey Waters,http://www.ufcstats.com/fighter-details/31dbfbe4e7a6727c
127,Robert Bryczek,http://www.ufcstats.com/fighter-details/f96856f9d69fd7e4,Brad Tavares,http://www.ufcstats.com/fighter-details/0c6d9ea8306c029e
128,Rinat Fakhretdinov,http://www.ufcstats.com/fighter-details/8f765fd5775a8873,Andreas Gustafsson,http://www.ufcstats.com/fighter-details/2caf993f53541fa1
129,Sam Hughes,http://www.ufcstats.com/fighter-details/e94085e821bd81de,Shauna Bannon,http://www.ufcstats.com/fighter-details/9c442aaf149ea982
130,Johnny Walker,http://www.ufcstats.com/fighter-details/c21f26bbde777573,Zhang Mingyang,http://www.ufcstats.com/fighter-details/8a65fd9ba31fd3f7
131,Aljamain Sterling,http://www.ufcstats.com/fighter-details/cb696ebfb6598724,Brian Ortega,http://www.ufcstats.com/fighter-details/def8166ff24bd237
132,Sergei Pavlovich,http://www.ufcstats.com/fighter-details/f14cf73e51b29254,Waldo Cortes Acosta,http://www.ufcstats.com/fighter-details/fc08099550072fe4
133,Sumudaerji,http://www.ufcstats.com/fighter-details/3cf18e01cb6cbde3,Kevin Borjas,http://www.ufcstats.com/fighter-details/34b96d52db1d26e6
134,Taiyilake Nueraji,http://www.ufcstats.com/fighter-details/7498b3ac79a3b948,Kiefer Crosbie,http://www.ufcstats.com/fighter-details/4729c93ba705a3bf
135,Gauge Young,http://www.ufcstats.com/fighter-details/b2a78df161bd67f9,Maheshate,http://www.ufcstats.com/fighter-details/8c1ca54b5089d199
136,Charles Johnson,http://www.ufcstats.com/fighter-details/814e5233e2acf2ee,Lone'er Kavanagh,http://www.ufcstats.com/fighter-details/bb2c3c3a466224af
137,Rongzhu,http://www.ufcstats.com/fighter-details/a13d755965a4ec9f,Austin Hubbard,http://www.ufcstats.com/fighter-details/d2cd7a69cc55e7ed
138,Kyle Daukaus,http://www.ufcstats.com/fighter-details/d6c0cdd7e467c440,Michel Pereira,http://www.ufcstats.com/fighter-details/595db60957de51d3
139,Yizha,http://www.ufcstats.com/fighter-details/3f11fd1751fa83b1,Westin Wilson,http://www.ufcstats.com/fighter-details/7b3503352cd53abb
140,SuYoung You,http://www.ufcstats.com/fighter-details/a474aade8eb3a8f0,Xiao Long,http://www.ufcstats.com/fighter-details/86bace9e4ad85542
141,Uran Satybaldiev,http://www.ufcstats.com/fighter-details/02f484417a6fa69d,Diyar Nurgozhay,http://www.ufcstats.com/fighter-details/709fadb644ee3f51
142,Khamzat Chimaev,http://www.ufcstats.com/fighter-details/767755fd74662dbf,Dricus Du Plessis,http://www.ufcstats.com/fighter-details/0d7b51c9d2649a6e
143,Lerone Murphy,http://www.ufcstats.com/fighter-details/396fe87b84ac2e1c,Aaron Pico,http://www.ufcstats.com/fighter-details/5537efc6e496dd84
144,Carlos Prates,http://www.ufcstats.com/fighter-details/7ee0fd831c0fe7c3,Geoff Neal,http://www.ufcstats.com/fighter-details/b997be68943010fc
145,Michael Page,http://www.ufcstats.com/fighter-details/a67d071163962af8,Jared Cannonier,http://www.ufcstats.com/fighter-details/13a0275fa13c4d26
146,Tim Elliott,http://www.ufcstats.com/fighter-details/c96d9178c9ed9e62,Kai Asakura,http://www.ufcstats.com/fighter-details/d33da8a3d82bdb62
147,Baisangur Susurkaev,http://www.ufcstats.com/fighter-details/d1feea7a4bdcd503,Eric Nolan,http://www.ufcstats.com/fighter-details/64b12fe31be7560c
148,Michal Oleksiejczuk,http://www.ufcstats.com/fighter-details/0d65c432720accb9,Gerald Meerschaert,http://www.ufcstats.com/fighter-details/6ac9bc2953c47345
149,Loopy Godinez,http://www.ufcstats.com/fighter-details/8e5d953bdb9ae5e7,Jessica Andrade,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f
150,Alexander Hernandez,http://www.ufcstats.com/fighter-details/262a7d06203657e6,Chase Hooper,http://www.ufcstats.com/fighter-details/971246648e162f0d
151,Drakkar Klose,http://www.ufcstats.com/fighter-details/7cbf7c78d3b34218,Edson Barboza,http://www.ufcstats.com/fighter-details/64a50dad704d1d49
152,Karine Silva,http://www.ufcstats.com/fighter-details/9d62c2d8ee151f08,Dione Barbosa,http://www.ufcstats.com/fighter-details/27b388f0aab49780
153,Joseph Morales,http://www.ufcstats.com/fighter-details/2fe9032955c2e013,Alibi Idiris,http://www.ufcstats.com/fighter-details/30cad5a751adcb48
154,Anthony Hernandez,http://www.ufcstats.com/fighter-details/093e1f5bb73850be,Roman Dolidze,http://www.ufcstats.com/fighter-details/327d5f279895110d
155,Steve Erceg,http://www.ufcstats.com/fighter-details/32ab52e5de93092d,Ode Osbourne,http://www.ufcstats.com/fighter-details/6d68c1afe954f121
156,Iasmin Lucindo,http://www.ufcstats.com/fighter-details/abcf2cc6efc42031,Angela Hill,http://www.ufcstats.com/fighter-details/f0feeb2192937424
157,Andre Fili,http://www.ufcstats.com/fighter-details/8fd808923cffff82,Christian Rodriguez,http://www.ufcstats.com/fighter-details/5ec591b78349ba7e
158,Jean Matsumoto,http://www.ufcstats.com/fighter-details/ffd3224638c01b57,Miles Johns,http://www.ufcstats.com/fighter-details/46e0d677f91bacc0
159,Christian Leroy Duncan,http://www.ufcstats.com/fighter-details/a93f94c923c3a9cb,Eryk Anders,http://www.ufcstats.com/fighter-details/cad24459b28592ca
160,Julius Walker,http://www.ufcstats.com/fighter-details/6add18754930182b,Rafael Cerquiera,http://www.ufcstats.com/fighter-details/09a4447655fd4b7b
161,Elijah Smith,http://www.ufcstats.com/fighter-details/7478b7f959ba61f5,Toshiomi Kazama,http://www.ufcstats.com/fighter-details/148bb103cfbf123e
